source_id,journal,doi,oa_url,downloaded
S101945965,Statute Law Review,https://doi.org/10.1093/slr/10.1.37,https://academic.oup.com/slr/article-pdf/10/1/37/4572311/10-1-37.pdf,unavailable
S101945965,Statute Law Review,https://doi.org/10.1093/slr/hmv019,http://bura.brunel.ac.uk/bitstream/2438/11991/3/FullText.pdf,yes
S101945965,Statute Law Review,https://doi.org/10.1093/slr/hmx007,https://academic.oup.com/slr/article-pdf/39/3/244/26000166/hmx007.pdf,unavailable
S101945965,Statute Law Review,https://doi.org/10.1093/slr/hmae011,https://academic.oup.com/slr/article-pdf/45/1/hmae011/56755117/hmae011.pdf,unavailable
S101945965,Statute Law Review,https://doi.org/10.1093/slr/hmz007,https://eprints.whiterose.ac.uk/155384/3/Our%20forgotten%20constitutional%20guardians%20-%20SLR.pdf,yes
S101945965,Statute Law Review,https://doi.org/10.1093/slr/11.3.211,https://academic.oup.com/slr/article-pdf/11/3/211/4567681/11-3-211.pdf,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3312944,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=3274&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3311734,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=4773&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3310432,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=7489&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3311247,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=5808&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3310500,https://link.springer.com/content/pdf/bfm:978-94-015-1073-8/1,yes
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3309789,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=8785&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3310170,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=7990&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3309722,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=8246&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3312225,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=3811&context=penn_law_review,unavailable
S107914479,University of Pennsylvania Law Review,https://doi.org/10.2307/3311248,https://scholarship.law.upenn.edu/cgi/viewcontent.cgi?article=5809&context=penn_law_review,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452915578833,https://rgu-repository.worktribe.com/preview/2120363/MADEBWE%202015%20Re-visiting%20old%20ideas%20%28AAM%29.pdf,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452918824508,https://birmingham.elsevierpure.com/files/57774006/ACavoski_Compliance_Assurance.pdf,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452919874204,https://strathprints.strath.ac.uk/71722/1/Ford_ELR_2019_Comment_on_fracking_and_the_scope_for_public_dissent.pdf,yes
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452917693337,https://discovery.dundee.ac.uk/ws/files/11847151/KCLelrDiscovery.pdf,yes
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452918759101,https://doi.org/10.1177/1461452918759101,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452918759716,https://journals.sagepub.com/doi/pdf/10.1177/1461452918759716,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452918774863,https://pearl.plymouth.ac.uk/bitstream/10026.1/19932/2/ELRev%20Book%20review%20April%202018.pdf,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/14614529221104558,https://doi.org/10.1177/14614529221104558,unavailable
S109822441,Environmental Law Review,https://doi.org/10.1177/14614529221111854,https://cronfa.swan.ac.uk/Record/cronfa60993/Download/60993__25102__bbf966de8a4f465caeb0359453ef5ec2.pdf,yes
S109822441,Environmental Law Review,https://doi.org/10.1177/1461452915598430,https://orca.cardiff.ac.uk/id/eprint/159624/1/Varvastian%20-%20Environmental%20Liability%20Under%20Scrutiny.pdf,yes
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2022009,https://pure.qub.ac.uk/files/319646935/EELR_31_0302.pdf,unavailable
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr1993020,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EELR\EELR1993020.pdf,yes
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2010019,https://cris.maastrichtuniversity.nl/files/72356707/faure_2011_effective_proportional_and_dissuasive_penalties.pdf,unavailable
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2016017,https://research.tilburguniversity.edu/files/13152967/EELR2016017.pdf,unavailable
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2018027,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EELR\EELR2018027.pdf,yes
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2021020,https://qmro.qmul.ac.uk/xmlui/bitstream/123456789/74378/2/Leal-Arcas%20International%20Cooperation%20on%20Climate%20Change%20Mitigation%3a%20The%20Role%20of%20Climate%20Clubs%202021%20Accepted.pdf,unavailable
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2015001,https://orca.cardiff.ac.uk/id/eprint/159621/1/Varvastian%20-%20Achieving%20the%20EU%20Air%20Policy%20Objectives%20in%20Due%20Time.pdf,yes
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2011014,https://dspace.library.uu.nl/bitstream/handle/1874/236413/Beijen-The%20implementation2011.pdf?sequence=1&isAllowed=y,yes
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2005010,https://research.rug.nl/files/17591854/HotAirTrading_EELR.PDF,unavailable
S113264738,European Energy and Environmental Law Review,https://doi.org/10.54648/eelr2018019,https://iris.unito.it/bitstream/2318/1693455/6/Caranta%20%281%29.pdf,yes
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10143,https://brill.com/downloadpdf/journals/icla/aop/article-10.1163-15718123-bja10143/article-10.1163-15718123-bja10143.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10056,https://brill.com/downloadpdf/journals/icla/21/4/article-p617_617.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-20210001,https://brill.com/downloadpdf/journals/icla/22/1-2/article-pi_i.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10099,https://brill.com/downloadpdf/journals/icla/22/1-2/article-p261_261.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10102,https://ore.exeter.ac.uk/repository/bitstream/10871/128452/2/Drumbl%20and%20Fournet%20-%20Introduction%20-%20With%20pictures.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10086,https://brill.com/downloadpdf/journals/icla/22/1-2/article-p189_189.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-bja10036,https://orca.cardiff.ac.uk/id/eprint/146902/1/ICLR%20Revision%20Gbagbo%20Appeals%20Decision.pdf,yes
S114495353,International Criminal Law Review,https://doi.org/10.1163/157181210x519009,https://brill.com/downloadpdf/journals/icla/10/4/article-p549_9.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-02003003,https://brill.com/downloadpdf/journals/icla/20/4/article-p701_701.pdf,unavailable
S114495353,International Criminal Law Review,https://doi.org/10.1163/15718123-01701001,https://diposit.ub.edu/dspace/bitstream/2445/106691/1/666059.pdf,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1321645,http://hdl.handle.net/2027/hvd.li42g9,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1328355,https://archive.org/download/wargovernmentofb00keitiala/wargovernmentofb00keitiala_bw.pdf,yes
S117766065,Harvard Law Review,https://doi.org/10.2307/1322206,https://archive.org/download/lawofsalesofpers00newmrich/lawofsalesofpers00newmrich_bw.pdf,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1321234,http://hdl.handle.net/2027/coo1.ark:/13960/t10p1mz86,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1329348,http://hdl.handle.net/2027/uc1.$b192048,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1322597,http://hdl.handle.net/2027/nyp.33433082443403,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1330584,http://hdl.handle.net/2027/mdp.39015012325117,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1340230,https://scholarship.law.columbia.edu/context/faculty_scholarship/article/1769/viewcontent/90_Harv_L_Rev_1362.pdf,unavailable
S117766065,Harvard Law Review,https://doi.org/10.2307/1324861,https://archive.org/download/racedistinctions00stepiala/racedistinctions00stepiala_bw.pdf,yes
S126564611,European Business Law Review,https://doi.org/10.54648/eulr1994055,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EULR\EULR1994055.pdf,yes
S126564611,European Business Law Review,https://doi.org/10.54648/eulr1994065,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EULR\EULR1994065.pdf,yes
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2012044,https://kluwerlawonline.com/api/Product/CitationPDFURL?file=Journals\EULR\EULR2012044.pdf,yes
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2019007,https://eprints.gla.ac.uk/195018/1/195018.pdf,yes
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2020013,http://repository.essex.ac.uk/23683/1/1Mohammed%20K.%20Alshaleel%20Money%20Market%20Funds%20Reforms%20in%20the%20US%20and%20the%20EU%20the%20Quest%20for%20Financial%20Stability.pdf,
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2019040,http://uhra.herts.ac.uk/bitstream/2299/22024/1/EBLR_30_6_5_Gkliatis_et_al_proof_01_1.pdf,
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2021006,http://repository.essex.ac.uk/27730/5/Alshaheel%20Hoekstra%20Global%20Financial%20Stability.pdf,
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2016015,http://eprints.hud.ac.uk/id/eprint/24667/1/Marson_and_Ferris_-_Collective_Redress_in_the_EU_-_FINAL.pdf,
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2013026,https://kclpure.kcl.ac.uk/portal/files/79527584/EBLR_24_4_6_Keller_1_.pdf,
S126564611,European Business Law Review,https://doi.org/10.54648/eulr2016043,http://wrap.warwick.ac.uk/83606/3/WRAP_dr_kokkinis_eblr_article_wrap.pdf,
